Genes	HSC	MPP	LMPP	CLP	GMP-A	GMP-B	GMP-C	CMP	MEP	NK	CD4	CD8	B	pDC	Mono	Ery
MX1	2290	2018	958	634	105	237	103	548	154	1057	3608	2241	3602	1496	4608	3
CREB3L1	11	50	4	102	0	148	8	11	39	0	1	0	1	1	2	0
C2CD2	7012	6753	6175	1692	1117	1635	1281	3717	4252	913	1401	1072	888	901	1505	162
TAB3	5883	7370	3428	5287	1188	1262	1598	9590	7540	4731	6472	5023	5292	2126	6078	15681
SLC38A10	669	1019	804	99	763	1426	2225	2042	1478	560	473	246	508	1687	2583	28
C9orf43	2086	2681	947	10	931	636	888	1272	258	5	50	41	44	553	15	14
PALM2-AKAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF618	3917	5221	3066	1531	1435	1795	3073	6112	7105	848	182	96	683	3596	822	305
DGKI	13	2	1	0	0	0	0	8	3	0	3	0	5	1	1	0
C9orf91	4155	3719	2604	1680	315	546	1108	1879	909	852	1894	1104	4165	2938	3836	1
SVOPL	261	260	25	59	4	5	17	354	302	7	41	90	19	1	3	3
SNX22	74	166	98	135	1304	1343	2824	250	212	175	189	109	1580	1171	362	1317
UBN2	14213	13968	7070	5815	1685	1812	3148	14269	17044	7665	8603	9434	8973	2358	9484	5570
BRAF	9975	10613	6011	7210	1878	1805	4609	11083	8847	10780	12400	11238	13603	5568	8375	2833
SLC34A2	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0
ACAN	1	3	3	1	0	0	1	1	0	3	73	19	5	0	1	1
PSMG3	336	553	250	86	467	490	1324	495	942	246	408	314	53	960	422	231
CABP1	1	1	0	0	1	0	0	0	0	0	0	1	5	8	1	0
WDR19	2258	2074	1924	1019	359	190	680	2310	3862	1064	1416	927	2273	321	750	554
SLC37A3	890	636	305	647	3	26	61	474	489	868	1663	1030	472	86	620	115
AP3S2	1084	1014	396	287	107	210	226	1033	965	590	943	772	533	321	1592	437
FMNL2	596	625	454	428	138	38	54	462	319	369	557	459	570	1060	834	120
RPS4Y2	1	3	5	1026	0	0	0	2	0	5	11	0	33	0	2	0
GAREML	136	162	58	12	47	131	618	145	114	190	187	128	123	95	20	296
SPPL3	2257	2382	1512	1239	478	390	661	2540	2942	1396	2161	1480	1557	1168	2980	615
DPYSL5	0	2	0	0	0	0	5	1	1	1	0	0	0	2	2	0
DRC1	3	1	1	1	0	0	0	5	3	1	0	1	0	0	5	0
RAB28	1144	1160	837	1321	62	59	182	1277	1415	1072	1166	1055	967	331	1281	691
FAM213B	400	711	252	79	48	186	135	997	1930	184	533	338	123	524	296	156
TNFRSF14	387	644	50	31	49	108	12	246	221	382	804	506	541	113	845	3
PANK4	135	294	204	94	13	45	124	255	340	242	410	229	135	294	408	54
CIB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF11	146	167	104	413	19	2	0	122	121	158	222	191	424	10	52	67
C12orf43	750	1202	495	295	127	68	364	1116	1317	649	1059	739	1087	159	736	145
PEX10	106	202	89	32	6	118	16	218	191	28	74	41	72	31	73	1
RER1	2287	3345	1712	1775	1488	1108	3302	3475	4014	2342	2945	2229	1458	1825	3957	1125
RADIL	37	29	7	3	2	2	0	12	25	12	20	9	3	17	11	0
SKI	1952	2662	635	54	1218	869	1988	2656	3236	1772	4134	1963	1462	572	3888	416
SSX2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIPI2	3330	5200	2397	1899	1119	959	2174	5665	7532	2136	3309	2384	2856	2448	5205	2458
LDLRAP1	851	1503	652	92	185	203	204	989	932	1069	9137	7288	591	194	956	85
AGAP1	160	205	46	14	9	12	0	156	1252	2752	171	526	3	1	6	205
KRTCAP3	25	51	10	8	16	17	220	26	77	13	115	40	11	15	5	9
ANKRD61	86	84	67	117	2	22	55	212	262	179	256	173	153	15	99	1344
PAFAH2	197	282	270	230	23	11	191	375	309	3968	790	884	283	427	614	47
EXTL1	1	1	0	0	0	0	0	1	1	0	0	7	1	0	1	0
SLC30A2	1	1	0	1	0	1	0	4	0	0	4	0	1	0	14	0
BRE	2878	3753	1953	625	678	1184	2275	4044	3683	1777	2167	1860	1224	1508	4119	237
TRIM63	0	0	1	0	0	0	0	3	7	0	0	0	4	0	12	0
WDR66	29	68	66	387	9	11	183	30	24	17	30	26	146	304	15	123
MRPL17	817	779	1018	333	188	593	313	1277	1706	445	975	485	233	408	386	101
DUSP2	200	156	166	8	40	122	373	189	191	1391	750	2195	92	260	517	0
GRHL3	1	1	0	1	0	0	0	9	41	0	1	0	2	0	5	17
UBXN11	431	506	276	20	63	30	155	361	363	160	451	274	115	169	3222	2
NLRP14	69	20	8	0	4	0	0	21	25	4	4	1	51	23	0	0
PTPDC1	694	569	363	238	22	98	337	657	439	273	768	494	683	418	217	41
GALNT14	307	533	588	864	589	207	125	1208	483	3	9	2	90	0	2	0
NCK1	1950	1978	1182	953	292	233	160	2545	2055	2884	2608	2307	1190	216	1339	142
HPD	5	2	1	1	0	0	3	11	4	2	24	11	3	2	26	15
RHPN1	37	42	113	5	25	5	8	25	2	2	22	6	0	40	0	1
TPRG1L	2108	2395	814	370	134	196	738	1647	2758	2533	4502	3173	1515	523	2407	1777
LRRC43	7	31	19	3	3	0	1	4	0	97	2	3	0	8	5	0
AAED1	5208	5124	1532	209	1322	1651	4752	5653	4533	1539	1453	947	1154	1357	2942	7
XDH	10	2	1	0	0	0	0	3	1	0	3	1	0	0	5	0
XKR8	232	424	285	58	70	290	221	687	838	908	439	320	159	582	2305	4
CNNM4	1265	1668	1022	312	554	400	169	2218	1273	493	448	364	741	707	1018	27
EYA3	4067	3782	4037	2459	1453	2091	2525	6155	7626	4074	2823	2014	1936	1463	3764	3417
DZIP1L	62	59	49	2	11	16	0	34	16	1	0	0	0	27	41	0
TMSB15A	16	21	74	87	5	0	25	50	36	1	0	0	10	6	0	0
FANCC	472	622	416	210	96	113	338	837	1046	302	254	217	271	178	102	317
MRAS	129	179	90	13	86	475	1897	288	101	11	14	5	1	54	1511	0
WASF2	25924	31561	17582	23012	12916	13973	27734	27289	25246	18467	28014	17447	22632	33956	38480	19197
ABHD3	413	741	997	1754	98	93	407	1383	927	1637	1596	1458	785	741	1918	132
ESYT3	411	503	163	96	22	5	4	251	266	41	221	178	62	4	7	1
FAIM	1004	1214	852	1784	50	107	148	1574	1208	726	890	565	634	154	782	71
FAM46B	1	6	6	0	1	0	0	0	2	0	0	0	0	0	31	0
CLSTN2	105	86	321	166	27	21	20	150	8	2	0	1	1	4	1	0
COLEC12	195	217	14	23	0	45	0	20	17	0	0	0	0	0	198	0
RNF207	3	15	7	1	0	0	0	7	42	7	36	29	5	0	30	4
CUL4B	6894	8066	5912	8100	927	1446	2570	8217	8038	8320	7935	6130	5826	3844	6414	1806
GPR153	2	0	5	0	0	207	238	63	6	160	1	20	1	32	18	0
SLC13A3	18	29	0	2	0	0	0	9	28	57	8	4	4	8	3	0
GPRASP2	1013	992	162	227	40	58	0	280	123	62	262	300	25	19	101	14
RHBDL2	2	10	19	115	0	0	119	6	3	22	20	28	17	0	12	1
AUTS2	1069	1550	1318	2760	1401	1421	3104	1951	1406	8911	1995	1436	1566	2465	58	3
SHROOM4	1639	1223	336	6	141	14	78	459	145	0	0	0	0	8	0	0
HIST1H2BD	2490	3499	725	1699	1091	817	1105	3212	6356	568	1578	807	740	4625	281	842
CDC25C	80	151	248	326	13	85	206	330	400	5	10	6	9	310	24	542
HIST1H4H	485	506	264	1544	4208	3609	8709	967	1044	383	314	218	430	10464	290	540
MITD1	710	1125	678	817	535	412	1186	1132	1085	831	1250	885	975	469	912	185
EIF5B	11020	13630	14442	12359	8378	6531	13423	21834	29070	15855	16787	13875	9617	4963	11171	11130
RIBC1	153	137	107	51	0	46	328	119	93	168	138	208	178	41	145	55
TMSB15B	635	393	214	579	13	28	1	483	390	187	352	266	618	116	8	5
C2orf62	71	13	10	2	4	16	0	11	8	4	4	3	0	0	64	1
CNOT11	2746	3438	2450	2374	1407	1325	2474	4461	4612	3286	4584	2953	2488	1738	2784	575
KCNB1	4	10	6	0	35	0	0	4	2	0	0	3	9	0	4	1
TSPAN33	1615	2057	1551	1318	448	852	759	1019	438	221	437	497	3481	775	969	6
NRG2	1	1	0	0	0	0	0	0	0	1	4	0	6	0	2	0
AHCYL2	3290	3706	2843	3070	771	791	1993	5376	4099	2045	2750	2140	1383	1541	5225	5
B4GALT5	4282	5844	4853	517	5672	6243	8202	7837	5320	6875	1412	1846	1211	2377	8311	9623
CD1D	0	6	12	0	269	48	3	17	14	55	0	0	592	0	6156	0
CD1A	0	0	0	4	0	0	108	1	0	5	0	0	303	0	407	0
SPATA2	710	872	329	283	1043	981	3062	1182	748	345	460	388	374	460	1218	162
CD1C	0	0	0	10	0	0	7	0	1	289	2	0	2773	0	1938	0
FAM86C1	506	741	460	101	268	110	60	756	1286	191	418	225	195	83	126	54
CD1B	0	0	0	0	0	0	0	0	0	7	0	0	0	0	181	0
DNAH3	9	2	0	14	0	0	0	16	13	16	76	36	79	0	3	0
CD1E	0	0	0	0	0	0	4	0	0	34	0	0	0	2	347	0
HMHB1	0	1	2	1569	24	0	63	0	0	1	0	0	65	45	0	0
CPA2	1	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0
NCF1	51	63	18	92	3	0	71	129	38	60	4	14	2088	1436	6901	0
CPA5	3	0	0	0	1	0	0	1	2	0	429	1866	0	0	1	0
TSR2	2940	3682	1604	1983	903	662	1379	3414	3969	3988	6657	4623	3694	1915	2806	510
PPP1R9A	3072	2617	1384	94	111	178	582	2082	1779	1250	1	33	579	18	0	55
ZC3H18	1287	1999	1042	526	776	527	671	2037	3017	1547	1511	1116	1297	1918	2624	246
ZFAND2B	772	1199	453	103	569	287	701	1032	821	485	1183	774	401	691	678	245
POM121L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDPD5	91	144	73	9	10	4	412	114	208	156	293	129	258	142	497	444
DYNC1I1	102	141	54	3	12	1	14	117	104	1	0	1	2	2	2	0
PFKFB1	7	9	6	17	6	2	0	28	11	33	28	27	9	3	7	23
ALAS2	9	7	6	27	0	3	2	10	209	32	38	28	5	0	34	63857
TMED4	2953	3768	3035	2909	697	973	1578	6224	4598	3963	5696	3809	2350	2733	3815	2562
PPP1R15B	10677	11878	5762	6854	2939	3882	5463	12613	8092	8436	14854	12674	16474	5950	19679	6277
COPG2	1412	1874	1513	645	881	945	1140	1928	1886	308	458	420	282	565	621	34
C11orf30	5151	5393	3130	5101	1690	1283	3600	5526	4753	6208	9030	6198	6220	1741	5338	2593
PAGE5	0	0	0	0	0	0	0	0	0	0	15	7	0	0	1	1
AGPAT6	1191	1536	807	542	500	421	1313	2222	2019	928	1534	930	1868	2217	2551	133
PKD1L1	12	11	1	4	0	0	0	3	3	40	54	28	41	1	33	0
ZSCAN12	1062	1518	804	1019	102	261	217	1600	1713	1167	990	923	1165	685	403	316
TAGLN2	8670	15093	5664	990	1688	1467	4507	20458	14707	3668	9259	5917	6710	6270	12874	60
ELK4	22073	23032	11024	19313	3316	3612	8290	16952	16771	38816	59613	49263	32300	7804	20102	6383
SLAMF8	19	24	66	3	4	21	0	36	4	564	6	150	0	0	773	0
SLC45A3	230	579	355	12	438	90	0	4909	231	4	0	0	248	0	12	1
DUSP23	304	559	289	30	99	107	570	687	885	232	166	200	39	101	368	4
RNF166	207	391	296	12	137	258	206	527	395	991	891	690	300	480	2304	15
NBL1	464	613	215	0	44	126	0	299	335	6	85	114	0	22	1	0
HTR6	14	8	8	0	1	1	0	9	3	16	31	5	9	17	20	0
ITLN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F11R	2831	3324	1471	903	203	102	300	2013	1809	1315	744	513	667	899	2588	807
USF1	320	424	234	413	70	139	76	236	442	310	354	299	590	280	935	153
PLA2G2F	0	0	0	0	0	0	0	0	0	0	1	0	0	1	10	0
SPATA2L	14	99	44	0	8	19	30	29	38	37	1	5	2	83	85	0
NIT1	774	574	384	163	103	35	470	981	759	352	618	505	274	151	1165	88
DEDD	1369	1786	1145	1199	397	717	1583	2209	2152	1283	2009	1295	1861	661	3112	599
ZNF276	760	1135	249	77	298	80	211	548	854	1582	1623	961	405	560	761	37
NPM2	492	332	59	0	111	26	10	290	15	1	7	18	0	0	2	0
EDA	11	37	6	0	0	0	0	8	0	1	172	36	1	0	1	0
FGF17	1	1	4	0	0	0	0	0	0	0	8	1	0	0	0	0
VWA5B1	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0
CDA	147	68	14	0	30	20	0	42	38	32	0	2	0	0	13527	0
PINK1	220	169	95	105	30	105	22	187	153	208	381	228	150	37	309	75
B4GALT3	419	711	536	324	161	60	127	1233	1425	545	998	560	355	565	1079	381
DMTN	84	171	0	0	0	0	0	755	801	67	788	486	1	0	19	4105
ADAMTS4	3	12	6	2	0	1	0	10	4	19	66	73	20	0	14	140
FAM160B2	600	683	193	37	194	108	201	702	607	223	618	275	427	184	452	0
NDUFS2	3641	4216	3325	2032	941	878	2367	6809	8055	2539	3550	2428	1266	2320	4578	2592
SLC5A11	10	15	11	31	1	8	0	10	24	24	33	2	64	19	11	0
FCER1G	693	544	1071	32	69	426	1894	2274	558	47417	268	961	24	3337	86051	71
APOA2	0	0	1	0	2	55	25	0	1	34	4	8	0	8	222	1
TOMM40L	264	371	256	163	40	148	28	396	456	247	247	171	37	61	517	19
MPZ	18	72	14	3	33	26	574	17	15	5	12	8	11	40	67	0
WFDC8	8	6	3	0	0	0	0	11	9	0	10	5	3	0	3	0
CCAR2	1886	2163	1277	994	749	1238	3192	2290	3024	1274	1832	1272	866	2064	2487	305
WNT9B	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CACHD1	1475	1307	808	236	251	510	381	769	288	1	1102	982	35	90	27	1
CDC42SE2	28700	34785	16629	23611	4673	5701	14933	34127	28046	64083	94894	90471	36276	16151	26387	1852
RAPGEF6	1030	1494	765	982	90	77	153	1058	1264	2087	5171	3654	1909	140	897	1150
EPB41	15693	18439	8817	10532	5192	5571	11303	20328	30342	33077	54671	35240	23633	16682	14197	184607
MIS18A	1216	1679	1781	2386	477	790	417	2843	3262	563	694	590	442	543	336	1276
ALG8	4079	4633	4679	3000	3472	3666	6601	9300	9890	2309	3418	2977	1989	2103	3979	439
FBXW5	306	713	367	13	97	277	730	643	777	526	492	293	201	1272	1169	14
C21orf59	1252	1484	1355	687	226	104	1028	1975	2296	755	1014	784	662	169	792	404
SYNJ1	2325	2685	1688	2160	237	181	482	2463	2150	3918	5108	3152	810	610	5661	3232
PAXBP1	2353	2765	1897	2237	334	397	631	2925	3614	1880	3116	2449	2472	1657	2161	1031
IFNAR2	913	1118	978	648	594	1136	1367	1640	1116	2175	1730	1066	806	2551	2039	74
MRPL10	1570	1809	702	295	664	459	872	2191	1764	2243	1440	1659	553	899	1208	169
DMRTC1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IFNGR2	1108	1484	918	776	342	360	368	1913	1962	84	1019	598	3673	281	9222	32
GART	2938	4733	4735	2726	712	718	2261	7209	12491	2462	2582	2157	1737	768	1974	2641
SON	49246	53343	29603	42625	16538	18323	27781	61721	63751	47859	64582	49712	55912	43070	58549	27125
DONSON	943	812	1181	2059	856	876	1885	2551	2857	786	741	715	592	1741	510	2961
SV2A	3520	4188	2095	545	1154	838	982	3275	568	31	196	113	3	119	7	10
LAD1	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0
STC1	4	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0
TNNI1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSRP1	4355	4478	1573	204	895	949	1895	4059	3767	777	1848	1196	640	1629	3831	46
PRAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QC	0	0	0	2	0	0	0	0	0	0	0	0	0	0	57	0
KCNE2	0	1	7	0	0	0	0	0	3	0	2	5	0	0	13	0
ATP5G1	1712	2759	1943	748	1233	1605	4400	4269	6940	555	1327	1021	715	844	1728	317
RCAN1	277	391	354	3126	116	402	961	677	678	1339	472	618	477	2777	1630	549
UBE2Z	5536	5983	3688	2796	1292	1519	2641	6022	6107	4560	4505	4029	3462	2460	4409	927
C1orf51	26	59	20	0	1	2	0	31	39	4	70	90	2	0	1	0
SNF8	1650	1508	887	576	135	226	1283	2129	1862	822	1338	1020	1096	1862	1895	342
CLIC6	133	102	6	20	0	0	5	24	108	27	80	163	10	0	5	1
CCDC24	18	18	16	4	1	1	3	15	28	0	3	12	10	0	1	143
RUNX1	30617	44601	41806	13420	18552	25962	47820	79806	40695	10768	16021	9401	5925	25977	19810	352
IGF2BP1	1	1	1	1	1	0	0	1	2	0	2	0	2	0	1	0
GIP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBR1	560	702	516	121	131	188	215	831	1478	394	449	253	112	41	1141	30
CBR3	216	198	51	76	21	107	101	157	38	22	167	88	54	89	10	0
C2orf81	59	99	100	0	130	436	20	62	57	38	102	72	223	150	36	0
GJD2	0	0	0	0	0	0	0	1	4	0	0	0	1	0	2	0
ACTC1	0	3	0	0	0	0	1	2	5	2	2	2	2	1	3	0
MORC3	4104	4841	3428	3390	296	462	659	5481	6595	11002	10334	6742	8843	1183	7584	10011
CHAF1B	1213	2021	2089	1975	895	820	2581	3530	4234	911	529	345	177	2422	79	1134
CLDN14	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
SIM2	19	42	112	8	0	1	0	48	60	84	75	52	42	14	6	0
HLCS	2109	2362	1705	697	548	683	1651	2507	3128	3151	1906	1963	1078	975	673	183
GOLGA6A	3	20	0	0	0	0	0	14	0	1	4	3	9	0	2	0
SCUBE1	1	46	0	0	65	19	503	226	17	1	1	2	1	4	48	0
ARHGAP27	1386	1460	1224	1318	600	490	2213	660	231	1770	1201	769	1470	8260	7238	1
ADPGK	2914	3465	3323	1491	951	875	2970	5214	3796	2602	3407	2712	6826	2330	9403	268
PTMS	2068	2840	772	60	440	432	729	1610	1373	135	90	165	39	739	592	1105
PLA2G4D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PADI4	408	514	208	11	11	3	54	332	33	19	75	127	3	11	6023	0
ADIPOR1	5947	7278	4104	2333	3022	2544	6975	9889	13475	4438	6603	4294	4043	4899	25475	37634
CYB5R1	1553	1522	541	165	152	143	293	981	1218	660	1674	1043	605	346	2517	744
PSMD4	2303	3846	2176	1538	1065	1529	3278	4195	5506	2035	2880	2058	1484	1856	3950	1067
ATP13A2	658	937	515	54	154	501	104	1071	1257	282	377	280	139	831	823	2
M1AP	73	64	73	9	26	219	6	106	79	49	7	23	5	30	137	1
PSMB4	6201	10744	6390	5895	4069	4489	8542	13753	17438	8126	10128	6775	5225	5778	12549	3483
IRX6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
BTG2	12753	11370	5450	32600	3431	3592	9292	6087	790	12101	27775	16568	28462	50108	32346	13963
CES5A	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0
HK2	3489	4926	3804	975	1573	1618	5649	7434	6188	82	1199	894	1118	2876	14623	4
C1R	277	383	105	3	26	14	8	412	51	52	52	70	17	6	27	0
CELF3	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2
ALDH4A1	50	72	85	6	280	559	388	437	597	15	14	42	5	197	103	4
STARD9	6198	5734	2675	2466	566	375	1097	2066	835	2048	864	1163	3001	726	110	18
THEM4	3494	2852	1746	454	1058	864	2805	3335	3566	2325	11947	6583	800	1651	338	30
TCHH	1	3	1	0	17	0	0	0	0	0	1	0	0	0	2	0
LCE2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBR1	4263	4954	3160	5966	302	354	736	6515	8542	9764	8337	7379	7012	1596	4217	6864
AMFR	2805	3372	1813	2483	283	488	730	3831	3294	1603	3327	2227	5340	1149	5237	1382
MED8	684	1033	681	643	138	120	160	1351	1845	1032	1077	881	546	80	1932	968
TGM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGL4	944	1144	660	85	270	200	170	642	277	429	949	685	164	396	343	90
SPRR2G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGLYRP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISL2	0	0	0	0	0	0	0	0	0	0	0	0	1	9	1	0
RSPRY1	1661	1933	1823	2890	237	339	757	2520	2406	2070	2668	2006	2078	904	2706	1840
CCDC17	253	260	44	123	38	70	0	125	81	82	301	86	139	204	217	72
GPBP1L1	14224	16678	9387	8533	3545	3854	8159	16647	14482	12471	16013	12780	11252	5835	17058	11938
NAE1	3323	4079	2805	4848	501	418	308	5795	6696	2954	4735	3602	1855	673	834	1068
TMEM69	3865	4701	2616	2771	908	668	1773	5187	7399	1519	2546	1815	1716	328	3570	1087
GPR114	701	912	610	46	22	66	1434	734	144	3401	63	590	413	1304	42	1
CCDC135	8	95	18	4	34	20	3	24	40	2	2	0	0	28	9	0
ACE	212	274	8	0	0	9	0	13	2	0	49	5	1	0	1	0
TEPP	23	117	0	0	0	0	0	30	17	3	55	58	10	17	1	0
UROC1	3	1	1	1	0	0	0	1	0	0	1	9	0	0	0	0
EFCAB14	24585	25358	12450	12566	1802	2308	5638	18900	16515	40986	36257	30996	24587	10100	40767	8460
SPON2	47	39	188	19	344	374	497	406	52	6701	197	547	8	600	37	0
CHCHD6	199	350	197	8	1	58	0	307	386	56	193	77	92	19	26	0
CTBP1	1214	2245	1868	680	699	1156	5776	2604	2806	2696	1459	1254	1116	1832	2531	406
LRRC36	32	44	9	4	0	0	25	2	1	0	1	2	4	103	27	0
TPPP3	7	3	7	0	0	0	0	1	1	2	9	1	0	0	881	0
ZDHHC1	30	100	47	1	18	1	3	59	37	4	4	1	1	0	43	0
ATP6V0D1	1531	2112	1475	514	2065	3499	4241	3042	4400	2346	1162	1024	2001	5675	18232	938
AGRP	0	0	1	1	0	0	0	1	2	2	6	0	0	0	5	0
ZFYVE28	24	40	27	7	46	31	0	47	99	697	365	226	26	12	86	0
RLTPR	279	521	377	28	183	394	168	383	189	115	458	167	424	481	26	2
C16orf86	32	51	27	2	0	1	0	37	27	0	17	8	1	6	45	0
PIP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
FAM131B	47	18	28	0	14	78	0	15	2	142	2	17	0	0	59	0
RGS12	395	284	214	159	183	177	178	286	565	56	155	82	38	190	224	140
PSKH1	567	844	444	65	370	262	431	908	1351	234	461	231	357	485	672	35
ZYX	3237	4937	2856	20	1787	3629	6938	4358	874	1239	2890	1987	334	2201	16528	0
ABR	3233	3577	2253	42	1736	2105	6618	3687	1325	2956	3134	1996	2849	4219	11915	1
LYPD5	109	41	63	63	0	1	92	42	10	1	4	5	11	0	22	1
CCDC117	3088	4373	3849	6802	520	763	1521	5695	6426	5292	2622	1930	3182	2530	3108	11580
ZNF230	320	436	467	257	61	70	181	528	306	427	437	455	480	208	502	169
CCDC107	2	1	0	0	0	0	0	0	1	2	1	4	1	0	1	0
ZNF222	339	315	225	63	46	12	0	265	291	208	184	177	159	189	74	53
NPR2	68	129	55	29	0	0	0	48	24	55	56	53	18	0	4	22
ZNF221	353	279	295	83	71	0	106	326	216	228	28	67	138	72	30	129
ZNF233	238	155	100	90	0	30	8	204	146	205	181	96	186	4	19	59
ZNF235	301	235	116	84	11	19	6	224	254	455	367	454	434	74	108	51
GNE	2142	2311	1688	1717	815	994	1935	2684	2562	1416	1821	1292	1795	1763	1597	395
TNFRSF13C	0	0	4	1	0	1	0	0	0	1	10	14	739	0	0	0
OR3A3	5	0	2	0	0	2	0	5	8	0	0	0	2	0	0	0
ARHGAP35	14530	17982	11232	13409	6153	5946	11933	23872	22781	13019	14383	12788	8344	14622	13340	6345
PTGIR	30	127	27	0	16	137	143	13	10	6	49	5	7	0	440	0
CALM3	5297	7385	3914	2583	5458	4676	8572	10164	8844	3659	8984	5878	1719	9211	8702	3447
DFFA	2621	3344	1875	1189	1011	770	2347	3000	3820	2019	2179	1810	1365	1696	1832	200
CCDC28B	359	503	176	183	46	67	1	636	731	331	260	146	316	74	153	80
IQCC	119	152	114	130	10	11	433	135	172	90	89	66	58	22	67	66
TMEM234	277	261	182	119	22	52	260	301	222	188	186	205	187	56	289	35
BSDC1	1163	1355	565	601	200	207	360	1910	2361	961	2164	1351	2151	684	1117	3716
ZBTB8A	1002	999	540	112	41	28	19	966	395	58	21	7	8	190	10	6
ATAD3B	52	61	76	7	45	298	153	132	154	36	81	35	42	214	33	4
SSU72	3208	4370	2036	954	1110	1141	2254	4906	4992	1759	4094	3335	2699	1693	4388	456
UBE2J2	340	536	362	167	143	129	124	609	1061	336	447	287	171	198	874	85
ZNF362	2175	3456	1213	446	754	760	2660	3366	3546	1379	1495	951	740	1480	2165	31
FNDC5	12	1	11	14	0	0	0	17	18	28	18	17	17	13	4	12
CPAMD8	17	13	2	169	0	0	0	10	15	47	65	82	12	0	682	0
NR2F6	145	148	125	6	23	136	252	320	598	19	25	7	5	11	91	10
ANKLE1	474	834	1155	182	405	720	910	2809	7486	25	43	86	111	336	344	10525
CCDC58	323	497	416	410	45	35	74	541	732	249	402	377	341	36	110	91
VMA21	10404	13150	6393	4499	1160	1258	1968	14242	14574	3782	7783	6531	4109	2499	5404	1311
KALRN	0	49	1	8	1	4	0	136	55	127	554	117	2	46	1	4
CILP2	1	0	1	0	3	43	0	7	0	0	0	1	1	4	0	0
ABCG1	1570	1558	1141	684	333	341	865	672	332	625	916	623	2297	1130	360	1
TFF3	9	0	0	1	0	0	0	0	0	0	6	9	6	10	0	0
TFF2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TFF1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TMPRSS3	0	1	0	9	0	0	0	0	6	5	51	56	0	0	6	0
UBASH3A	0	33	4	53	0	0	0	52	1448	52	4783	2630	0	0	0	2
RSPH1	249	143	130	6	1	52	39	138	46	0	1	0	43	76	0	1
SLC37A1	2161	2906	1041	166	512	583	427	2835	1016	394	467	352	1229	1449	779	1
PDE9A	29	44	41	194	5	2	0	5	1	10	573	290	16	0	8	2
WDR4	75	164	117	63	46	41	89	170	409	52	140	54	115	79	88	23
NDUFV3	1799	2398	1989	1170	1605	1638	2063	3292	4088	1516	1888	1425	1206	731	4298	1653
PKNOX1	1908	2653	1415	1892	314	285	351	2769	2304	2149	2662	1958	1013	1574	1329	1410
CBS	9	28	9	3	0	0	0	106	6	19	11	4	5	0	8	7
U2AF1	9445	10197	4006	4709	2616	2799	7179	10311	8798	7372	12908	10536	13747	5180	12683	3142
CRYAA	1	0	0	0	0	0	0	0	3	0	2	3	0	0	0	0
HSF2BP	28	11	7	3	0	0	15	34	16	11	35	30	15	0	3	0
RRP1B	5835	6626	4965	1812	1349	1460	3239	6876	6461	2709	4951	4190	2188	2689	1961	296
PDXK	850	1021	722	22	370	528	438	1278	1247	858	1258	896	1074	622	5509	14
G6PD	769	1062	345	70	345	498	860	1189	921	849	342	409	482	1618	2967	22
CSTB	1702	2051	1937	1662	2895	2428	3706	2632	2452	2753	3403	2039	1051	452	6633	415
RRP1	434	906	576	94	344	195	263	1272	1433	150	293	259	416	167	1942	7
AGPAT3	2124	2203	1502	524	696	702	1596	3013	6180	925	2482	1490	856	1067	7637	1247
TRAPPC10	4475	5146	2830	2535	1223	1224	2772	5327	4974	15523	11203	8265	9574	4213	8553	2034
GAB3	1990	2697	1492	1676	621	548	2213	4855	4839	5890	650	1623	1103	1284	3437	1209
C21orf33	2055	2516	2080	1727	366	392	1217	3984	4978	1442	1783	1016	1596	674	1703	343
