Variant1	Class1	PP1	Variant2	Class2	PP2	trait	distance	regionA	regionB
chr13:98231532-98231533	intergenic	0.1672	chr13:98228956-98228957	intergenic	0.1433	NEUTRO_COUNT	2574	region143	region143
chr13:98231532-98231533	intergenic	0.1875	chr13:98228956-98228957	intergenic	0.1481	WBC_COUNT	2574	region192	region192
chr2:46351848-46351849	intron	0.1702	chr2:46349271-46349272	intron	0.1517	HCT	2575	region9	region9
chr9:81097505-81097506	intergenic	0.1479	chr9:81094927-81094928	intergenic	0.1207	LYMPH_COUNT	2576	region132	region132
chr7:56317460-56317461	intergenic	1	chr7:56314879-56314880	intergenic	0.1993	WBC_COUNT	2579	region139	region139
chr20:39268185-39268186	intergenic	0.1581	chr20:39270768-39270769	intergenic	0.1533	WBC_COUNT	2581	region235	region235
chr16:30485393-30485394	promoter	0.2976	chr16:30482803-30482804	promoter	0.2341	LYMPH_COUNT	2588	region172	region172
chr16:30485393-30485394	promoter	0.2281	chr16:30482803-30482804	promoter	0.2038	WBC_COUNT	2588	region210	region210
chr19:10347032-10347033	accessible	0.1842	chr19:10349625-10349626	intergenic	0.1569	RETIC_COUNT	2591	region124	region124
chr18:19671111-19671112	intergenic	0.1106	chr18:19673713-19673714	intergenic	0.1024	NEUTRO_COUNT	2600	region171	region171
chr16:88782050-88782051	coding	0.6269	chr16:88784654-88784655	promoter	0.3314	RETIC_COUNT	2602	region110	region110
chr19:10347084-10347085	accessible	0.3055	chr19:10349690-10349691	intergenic	0.1213	NEUTRO_COUNT	2604	region177	region177
chr19:10347084-10347085	accessible	0.2861	chr19:10349690-10349691	intergenic	0.2589	WBC_COUNT	2604	region231	region231
chr21:36395974-36395975	intron	0.2003	chr21:36398586-36398587	intron	0.1249	EO_COUNT	2610	region189	region189
chr3:141150026-141150027	intron	0.3838	chr3:141147414-141147415	intron	0.2119	MCV	2610	region31	region31
chr3:141150026-141150027	intron	0.3197	chr3:141147414-141147415	intron	0.2227	MEAN_RETIC_VOL	2610	region27	region27
chr21:38065224-38065225	accessible	0.2602	chr21:38062610-38062611	intergenic	0.2436	HCT	2612	region108	region108
chr16:11320613-11320614	intergenic	0.1303	chr16:11317993-11317994	intergenic	0.1148	EO_COUNT	2618	region160	region160
chr2:60710615-60710616	accessible	0.7438	chr2:60713235-60713236	accessible	0.1923	MEAN_RETIC_VOL	2618	region18	region18
chr19:8449752-8449753	accessible	0.1195	chr19:8452373-8452374	promoter	0.176	MCH	2619	region182	region182
chr20:57614823-57614824	intron	0.1715	chr20:57617444-57617445	promoter	0.1987	PLT_COUNT	2619	region224	region224
chr21:39836204-39836205	intron	0.2161	chr21:39838825-39838826	intron	0.1001	PLT_COUNT	2619	region229	region229
chr1:205680414-205680415	accessible	0.1522	chr1:205677784-205677785	accessible	0.1079	NEUTRO_COUNT	2628	region9	region9
chr1:161188936-161188937	coding	0.1775	chr1:161186303-161186304	promoter	0.5891	MPV	2631	region8	region8
chr11:76299431-76299432	accessible	0.2552	chr11:76302067-76302068	intergenic	0.2632	EO_COUNT	2634	region132	region132
chr6:43804571-43804572	accessible	0.2658	chr6:43801905-43801906	intergenic	0.1423	HCT	2664	region30	region30
chr8:41509915-41509916	accessible	0.2219	chr8:41512581-41512582	coding	0.5449	MCHC	2664	region40	region40
chr14:103193028-103193029	coding	0.1145	chr14:103190362-103190363	intron	0.4666	PLT_COUNT	2664	region179	region179
chr14:103564734-103564735	promoter	0.1548	chr14:103567406-103567407	promoter	0.1091	PLT_COUNT	2670	region179	region179
chr3:16905460-16905461	intergenic	0.1347	chr3:16902783-16902784	intergenic	0.1131	RBC_COUNT	2675	region26	region26
chr19:18415743-18415744	accessible	0.2003	chr19:18413061-18413062	intergenic	0.5318	MCH	2680	region181	region181
chr19:18415743-18415744	accessible	0.2154	chr19:18413061-18413062	intergenic	0.5945	MCV	2680	region190	region190
chr19:18415743-18415744	accessible	0.2542	chr19:18413061-18413062	intergenic	0.5872	MEAN_RETIC_VOL	2680	region150	region150
chr19:18415743-18415744	accessible	0.1297	chr19:18413061-18413062	intergenic	0.1716	RBC_COUNT	2680	region132	region132
chr10:91463512-91463513	intron	0.2753	chr10:91466194-91466195	intron	0.1203	WBC_COUNT	2680	region169	region169
chr7:50439415-50439416	accessible	0.5305	chr7:50436731-50436732	utr	0.4692	MONO_COUNT	2682	region119	region119
chr5:35844125-35844126	intergenic	0.2208	chr5:35846815-35846816	intergenic	0.2059	EO_COUNT	2688	region53	region53
chr3:56776908-56776909	intron	0.124	chr3:56774215-56774216	intron	0.1093	HGB	2691	region18	region18
chr3:56774215-56774216	intron	0.2365	chr3:56776908-56776909	intron	0.1818	MPV	2691	region40	region40
chr3:56774215-56774216	intron	0.168	chr3:56776908-56776909	intron	0.146	PLT_COUNT	2691	region36	region36
chr19:33754548-33754549	accessible	1	chr19:33751852-33751853	accessible	0.1282	BASO_COUNT	2694	region46	region46
chr10:9032555-9032556	intergenic	0.6781	chr10:9035254-9035255	intergenic	0.2177	EO_COUNT	2697	region124	region124
chr11:83268649-83268650	intron	0.1303	chr11:83271349-83271350	intron	0.1144	EO_COUNT	2698	region138	region138
chr11:83268649-83268650	intron	0.1556	chr11:83271349-83271350	intron	0.1463	WBC_COUNT	2698	region178	region178
chr2:32835715-32835716	intron	0.1472	chr2:32832992-32832993	intron	0.1323	WBC_COUNT	2721	region16	region16
chr9:99089943-99089944	intron	0.1166	chr9:99087217-99087218	intron	0.1146	MPV	2724	region125	region125
chr7:5234362-5234363	accessible	0.1939	chr7:5231628-5231629	promoter	0.139	MCV	2732	region110	region110
chr11:19247429-19247430	intron	0.2111	chr11:19250164-19250165	intron	0.1216	MEAN_RETIC_VOL	2733	region102	region102
chr16:19273328-19273329	intron	0.6876	chr16:19270587-19270588	intron	0.1402	NEUTRO_COUNT	2739	region157	region157
chr1:214177979-214177980	intron	0.1353	chr1:214180721-214180722	intron	0.1157	RBC_COUNT	2740	region5	region5
chr10:11761810-11761811	accessible	0.1189	chr10:11759059-11759060	intergenic	0.1029	MPV	2749	region131	region131
chr19:897215-897216	coding	0.5651	chr19:899978-899979	intron	0.3362	RETIC_COUNT	2761	region125	region125
chr11:65471580-65471581	intergenic	0.1097	chr11:65468808-65468809	intergenic	0.1034	PLT_COUNT	2770	region152	region152
chr9:113940107-113940108	intergenic	0.3916	chr9:113942888-113942889	intergenic	0.1045	MONO_COUNT	2779	region127	region127
chr1:3684954-3684955	intron	0.2805	chr1:3687739-3687740	promoter	0.1377	HGB	2783	region8	region8
chr1:3684954-3684955	intron	0.5663	chr1:3687739-3687740	promoter	0.1908	MCHC	2783	region3	region3
chr5:95163449-95163450	accessible	0.2131	chr5:95166235-95166236	accessible	0.1739	RETIC_COUNT	2784	region47	region47
chr9:22142907-22142908	intergenic	0.1478	chr9:22145694-22145695	intergenic	0.1089	LYMPH_COUNT	2785	region128	region128
chr3:47175194-47175195	accessible	0.1892	chr3:47172407-47172408	intron	0.1403	LYMPH_COUNT	2785	region31	region31
chr19:4080391-4080392	intergenic	0.2354	chr19:4083181-4083182	intergenic	0.1116	MCV	2788	region189	region189
chr2:46349271-46349272	intron	0.1155	chr2:46352070-46352071	intron	0.1051	RBC_COUNT	2797	region10	region10
chr13:114015702-114015703	accessible	0.1079	chr13:114012898-114012899	intron	0.5846	MPV	2802	region170	region170
chr19:18512932-18512933	accessible	0.11	chr19:18515741-18515742	intergenic	0.3354	NEUTRO_COUNT	2807	region179	region179
chr22:36759815-36759816	promoter	0.1287	chr22:36762634-36762635	promoter	0.1163	MCH	2817	region191	region191
chr22:36759815-36759816	promoter	0.2527	chr22:36762634-36762635	promoter	0.147	MCV	2817	region204	region204
chr22:36759815-36759816	promoter	0.1273	chr22:36762634-36762635	promoter	0.1023	MEAN_RETIC_VOL	2817	region160	region160
chr1:247719769-247719770	intron	0.5195	chr1:247722588-247722589	intron	0.4805	MPV	2817	region3	region3
chr1:247722588-247722589	intron	0.5966	chr1:247719769-247719770	intron	0.4034	PLT_COUNT	2817	region1	region1
chr1:247719769-247719770	intron	0.7122	chr1:247722588-247722589	intron	0.2865	RETIC_COUNT	2817	region2	region2
chr11:126270374-126270375	accessible	0.1018	chr11:126267544-126267545	intron	0.1423	PLT_COUNT	2828	region149	region149
chr10:45952896-45952897	coding	0.4287	chr10:45950055-45950056	intergenic	0.1386	MCH	2839	region122	region122
chr10:45952896-45952897	coding	0.4818	chr10:45950055-45950056	intergenic	0.1138	MCV	2839	region126	region126
chr11:128567876-128567877	promoter	0.3697	chr11:128565034-128565035	promoter	0.1987	PLT_COUNT	2840	region154	region154
chr9:13983289-13983290	intergenic	0.1095	chr9:13986133-13986134	intergenic	0.1088	HCT	2842	region67	region67
chr9:13986133-13986134	intergenic	0.1312	chr9:13983289-13983290	intergenic	0.1297	RBC_COUNT	2842	region68	region68
chr8:56792586-56792587	coding	0.2158	chr8:56795439-56795440	intron	0.3809	PLT_COUNT	2851	region129	region129
chr6:41909521-41909522	coding	0.5259	chr6:41906661-41906662	intron	0.1812	MCH	2858	region50	region50
chr6:41909521-41909522	coding	0.9714	chr6:41906661-41906662	intron	0.8636	MCV	2858	region54	region54
chr6:41909521-41909522	coding	0.9979	chr6:41906661-41906662	intron	0.7135	MEAN_RETIC_VOL	2858	region42	region42
chr6:41903798-41903799	coding	0.3738	chr6:41906661-41906662	intron	0.1812	MCH	2861	region50	region50
chr6:41903798-41903799	coding	0.8703	chr6:41906661-41906662	intron	0.8636	MCV	2861	region54	region54
chr6:41903798-41903799	coding	0.1285	chr6:41906661-41906662	intron	0.7135	MEAN_RETIC_VOL	2861	region42	region42
chr4:123584946-123584947	accessible	0.13	chr4:123582081-123582082	intron	0.1253	EO_COUNT	2863	region42	region42
chr19:45413234-45413235	intergenic	0.1159	chr19:45416099-45416100	promoter	0.2732	WBC_COUNT	2863	region227	region227
chr19:16194504-16194505	accessible	0.5874	chr19:16197377-16197378	accessible	0.2017	PLT_COUNT	2871	region217	region217
chr6:47609592-47609593	intergenic	0.316	chr6:47606712-47606713	intergenic	0.2583	MPV	2878	region78	region78
chr6:47609592-47609593	intergenic	0.192	chr6:47606712-47606713	intergenic	0.1485	PLT_COUNT	2878	region92	region92
chr16:5023403-5023404	accessible	0.2828	chr16:5020514-5020515	intron	0.2493	MPV	2887	region196	region196
chr1:25889632-25889633	coding	0.1795	chr1:25892525-25892526	intron	0.1344	PLT_COUNT	2891	region1001	region1001
chr16:89058129-89058130	intergenic	0.1675	chr16:89055228-89055229	intergenic	0.158	MCH	2899	region161	region161
chr16:89058129-89058130	intergenic	0.23	chr16:89055228-89055229	intergenic	0.225	MCV	2899	region168	region168
chr16:89058129-89058130	intergenic	0.533	chr16:89055228-89055229	intergenic	0.3584	MEAN_RETIC_VOL	2899	region131	region131
chr5:150458146-150458147	intron	0.1547	chr5:150461049-150461050	promoter	0.4172	EO_COUNT	2901	region56	region56
chr5:76243677-76243678	intergenic	0.1331	chr5:76246581-76246582	intergenic	0.1231	PLT_COUNT	2902	region1004	region1004
chr6:41956874-41956875	intron	0.1724	chr6:41959793-41959794	intron	0.1115	RBC_COUNT	2917	region37	region37
chr12:122465836-122465837	accessible	0.1012	chr12:122468756-122468757	intron	0.114	MCH	2918	region139	region139
chr12:122465836-122465837	accessible	0.1119	chr12:122468756-122468757	intron	0.1061	MCV	2918	region144	region144
chr18:46460823-46460824	intron	0.164	chr18:46463756-46463757	intron	0.1246	HGB	2931	region110	region110
chr9:4852599-4852600	accessible	0.1965	chr9:4849647-4849648	promoter	0.1505	MCH	2950	region118	region118
chr9:4852599-4852600	accessible	0.1865	chr9:4849647-4849648	promoter	0.1271	MCV	2950	region122	region122
chr14:102994065-102994066	accessible	0.2164	chr14:102997017-102997018	intergenic	0.2488	MCV	2950	region156	region156
chr14:102994065-102994066	accessible	0.1681	chr14:102997017-102997018	intergenic	0.2003	MEAN_RETIC_VOL	2950	region121	region121
chr9:4852599-4852600	accessible	0.3419	chr9:4849647-4849648	promoter	0.3712	MEAN_RETIC_VOL	2950	region87	region87
chr9:4852599-4852600	accessible	0.2323	chr9:4849647-4849648	promoter	0.2013	RBC_COUNT	2950	region67	region67
chr17:19934963-19934964	accessible	0.1618	chr17:19937918-19937919	intron	0.2166	MCH	2953	region164	region164
chr17:19934963-19934964	accessible	0.1718	chr17:19937918-19937919	intron	0.2252	MCV	2953	region172	region172
chr17:77776835-77776836	accessible	0.1268	chr17:77773876-77773877	intergenic	0.1688	MONO_COUNT	2957	region187	region187
chr8:119942830-119942831	intron	0.3124	chr8:119939859-119939860	intron	0.211	EO_COUNT	2969	region117	region117
chr8:41549491-41549492	intron	0.5352	chr8:41546512-41546513	intron	0.1176	RETIC_COUNT	2977	region75	region75
chr21:35343934-35343935	intergenic	0.3615	chr21:35346922-35346923	intergenic	0.2126	HCT	2986	region109	region109
chr21:35343934-35343935	intergenic	0.3965	chr21:35346922-35346923	intergenic	0.214	HGB	2986	region118	region118
chr20:55977759-55977760	accessible	0.3227	chr20:55980747-55980748	intron	0.2527	RETIC_COUNT	2986	region132	region132
chr2:112250758-112250759	promoter	0.314	chr2:112247747-112247748	promoter	0.1819	MCH	3009	region16	region16
chr2:112250758-112250759	promoter	0.3466	chr2:112247747-112247748	promoter	0.1809	MCV	3009	region18	region18
chr2:112247747-112247748	promoter	0.4204	chr2:112250758-112250759	promoter	0.3787	MEAN_RETIC_VOL	3009	region19	region19
chr2:112250758-112250759	promoter	0.6261	chr2:112247747-112247748	promoter	0.2612	RBC_COUNT	3009	region11	region11
chr2:58979879-58979880	accessible	0.1034	chr2:58976863-58976864	intron	0.1119	MCV	3014	region28	region28
chr12:65025078-65025079	accessible	0.3872	chr12:65028103-65028104	accessible	0.2876	MPV	3023	region151	region151
chr14:65796846-65796847	accessible	0.1079	chr14:65799876-65799877	intergenic	0.3241	PLT_COUNT	3028	region185	region185
chr3:141536947-141536948	intergenic	0.1118	chr3:141533916-141533917	intron	0.3092	MCH	3029	region28	region28
chr3:141536947-141536948	intergenic	0.1172	chr3:141533916-141533917	intron	0.2041	MCV	3029	region31	region31
chr17:57882674-57882675	accessible	0.1072	chr17:57885709-57885710	intron	0.2965	MONO_COUNT	3033	region1005	region1005
chr1:118156053-118156054	accessible	0.1664	chr1:118153011-118153012	intron	0.1467	RETIC_COUNT	3040	region6	region6
chr8:41540622-41540623	accessible	0.1013	chr8:41543675-41543676	coding	0.2678	MEAN_RETIC_VOL	3051	region82	region82
chr2:46352326-46352327	intron	0.4029	chr2:46349271-46349272	intron	0.1475	HGB	3053	region10	region10
chr5:1287194-1287195	intron	0.9993	chr5:1284135-1284136	promoter	0.2356	MCH	3057	region44	region44
chr7:106370644-106370645	accessible	0.5506	chr7:106373718-106373719	intergenic	0.1037	PLT_COUNT	3072	region112	region112
chr16:289694-289695	accessible	0.4543	chr16:292772-292773	intron	0.1467	MCHC	3076	region51	region51
chr3:56780003-56780004	intron	0.1819	chr3:56776908-56776909	intron	0.124	HGB	3093	region18	region18
chr18:77282508-77282509	accessible	0.1032	chr18:77279413-77279414	intron	0.2871	MPV	3093	region222	region222
chr22:51018579-51018580	promoter	0.239	chr22:51015481-51015482	promoter	0.1704	MEAN_RETIC_VOL	3096	region158	region158
chr18:43769305-43769306	accessible	0.1036	chr18:43772403-43772404	intron	0.1088	RETIC_COUNT	3096	region123	region123
chr14:74211446-74211447	intron	0.1172	chr14:74208345-74208346	promoter	0.4859	MCH	3099	region150	region150
chr17:72699384-72699385	intron	0.135	chr17:72696280-72696281	intron	0.1022	MONO_COUNT	3102	region183	region183
chr1:56617947-56617948	intergenic	0.1863	chr1:56614831-56614832	intergenic	0.113	RETIC_COUNT	3114	region5	region5
chr2:102969667-102969668	accessible	0.1423	chr2:102966549-102966550	intron	0.1613	EO_COUNT	3116	region14	region14
chr11:94832645-94832646	accessible	0.3199	chr11:94829514-94829515	accessible	0.2255	MPV	3129	region138	region138
chr17:27206029-27206030	accessible	0.2311	chr17:27202888-27202889	intergenic	0.186	RBC_COUNT	3139	region104	region104
chr1:171942783-171942784	accessible	0.1003	chr1:171939641-171939642	intron	0.1054	MPV	3140	region2	region2
chr16:218532-218533	accessible	0.5785	chr16:215379-215380	promoter	0.283	RETIC_COUNT	3151	region108	region108
chr9:32433526-32433527	accessible	0.3752	chr9:32436683-32436684	intron	0.1232	HGB	3155	region78	region78
chr9:32433526-32433527	accessible	0.245	chr9:32436683-32436684	intron	0.1855	RBC_COUNT	3155	region69	region69
chr3:57426680-57426681	intron	0.148	chr3:57429838-57429839	intron	0.1243	PLT_COUNT	3156	region1002	region1002
chr12:121154221-121154222	intron	0.2035	chr12:121151062-121151063	intron	0.1716	MCH	3157	region139	region139
chr12:121154221-121154222	intron	0.179	chr12:121151062-121151063	intron	0.1646	MCV	3157	region144	region144
chr11:19221518-19221519	accessible	0.1115	chr11:19224677-19224678	intron	0.8683	RBC_COUNT	3157	region79	region79
chr2:32229450-32229451	intron	0.164	chr2:32226289-32226290	intron	0.1554	NEUTRO_COUNT	3159	region23	region23
chr9:91613643-91613644	accessible	0.1484	chr9:91616843-91616844	coding	0.3241	MONO_COUNT	3198	region128	region128
chr22:36766481-36766482	accessible	0.178	chr22:36769685-36769686	intron	0.1271	MCH	3202	region191	region191
chr2:23901362-23901363	intron	0.2108	chr2:23898149-23898150	intron	0.1097	MPV	3211	region36	region36
chr16:198835-198836	intergenic	0.3979	chr16:202049-202050	promoter	0.1014	MCH	3212	region159	region159
chr13:72503638-72503639	intergenic	0.124	chr13:72506854-72506855	intergenic	0.1161	MONO_COUNT	3214	region160	region160
chr12:116837347-116837348	intergenic	0.3209	chr12:116834127-116834128	intergenic	0.1161	MONO_COUNT	3218	region155	region155
chr19:45413234-45413235	intergenic	0.1131	chr19:45410002-45410003	promoter	0.1047	MEAN_RETIC_VOL	3230	region151	region151
chr19:45413234-45413235	intergenic	0.1159	chr19:45410002-45410003	promoter	0.4066	WBC_COUNT	3230	region227	region227
chr9:27516161-27516162	intron	0.1991	chr9:27512928-27512929	intron	0.1035	LYMPH_COUNT	3231	region134	region134
chr10:114199287-114199288	intron	0.2462	chr10:114202526-114202527	intron	0.1563	MPV	3237	region129	region129
chr12:122329063-122329064	intron	0.1122	chr12:122325820-122325821	promoter	0.2182	MPV	3241	region146	region146
chr8:23423669-23423670	coding	0.111	chr8:23426915-23426916	promoter	0.2414	RBC_COUNT	3244	region62	region62
chr14:65520353-65520354	accessible	0.1381	chr14:65517106-65517107	intron	0.1268	MCV	3245	region155	region155
chr9:4855858-4855859	accessible	0.3328	chr9:4852599-4852600	accessible	0.1965	MCH	3257	region118	region118
chr9:4855858-4855859	accessible	0.5687	chr9:4852599-4852600	accessible	0.1865	MCV	3257	region122	region122
chr9:17694924-17694925	intron	0.1387	chr9:17698184-17698185	intron	0.1136	WBC_COUNT	3258	region158	region158
chr1:236107241-236107242	accessible	0.5234	chr1:236103965-236103966	accessible	0.1014	MONO_COUNT	3274	region3	region3
chr2:192701265-192701266	coding	0.3124	chr2:192697988-192697989	intergenic	0.7024	MPV	3275	region22	region22
chr1:205715256-205715257	intron	0.1319	chr1:205711974-205711975	intron	0.124	WBC_COUNT	3280	region8	region8
chr20:57597970-57597971	coding	0.5941	chr20:57594684-57594685	promoter	0.2689	PLT_COUNT	3284	region224	region224
chr20:57597970-57597971	coding	0.1573	chr20:57594684-57594685	promoter	0.6199	RETIC_COUNT	3284	region133	region133
chr6:25514598-25514599	intron	0.1419	chr6:25511309-25511310	intron	0.1166	PLT_COUNT	3287	region82	region82
chr1:171942783-171942784	accessible	0.1003	chr1:171946082-171946083	intron	0.1494	MPV	3297	region2	region2
chr10:51581143-51581144	intron	0.226	chr10:51577841-51577842	promoter	0.2779	MCH	3300	region124	region124
chr10:51581143-51581144	intron	0.1982	chr10:51577841-51577842	promoter	0.3163	MCV	3300	region128	region128
chr10:51581143-51581144	intron	0.2433	chr10:51577841-51577842	promoter	0.2374	RBC_COUNT	3300	region75	region75
chr6:33549403-33549404	promoter	0.2798	chr6:33552707-33552708	promoter	0.1641	PLT_COUNT	3302	region81	region81
chr9:113642646-113642647	intron	0.1918	chr9:113639333-113639334	intron	0.119	EO_COUNT	3311	region121	region121
chr8:142329460-142329461	intergenic	0.2396	chr8:142332778-142332779	intergenic	0.2201	NEUTRO_COUNT	3316	region103	region103
chr8:142329460-142329461	intergenic	0.2827	chr8:142332778-142332779	intergenic	0.2291	WBC_COUNT	3316	region149	region149
chr14:103570132-103570133	accessible	0.1114	chr14:103566785-103566786	coding	0.114	MPV	3345	region174	region174
chr5:156383422-156383423	intron	0.1747	chr5:156380067-156380068	intron	0.1475	PLT_COUNT	3353	region78	region78
chr1:205715256-205715257	intron	0.1203	chr1:205718634-205718635	promoter	0.4566	LYMPH_COUNT	3376	region6	region6
chr1:205715256-205715257	intron	0.1401	chr1:205718634-205718635	promoter	0.3534	NEUTRO_COUNT	3376	region9	region9
chr9:96166640-96166641	intergenic	0.1536	chr9:96163260-96163261	intergenic	0.1207	PLT_COUNT	3378	region139	region139
chr12:21323338-21323339	intron	0.3872	chr12:21326728-21326729	intron	0.3824	MCH	3388	region144	region144
chr12:21326728-21326729	intron	0.2588	chr12:21323338-21323339	intron	0.2442	MCV	3388	region150	region150
chr5:65916784-65916785	accessible	0.3432	chr5:65913392-65913393	accessible	0.2782	PLT_COUNT	3390	region76	region76
chr5:88106258-88106259	intron	0.1354	chr5:88102863-88102864	intron	0.13	RBC_COUNT	3393	region32	region32
chr6:47618171-47618172	accessible	0.1163	chr6:47621579-47621580	intergenic	0.1061	PLT_COUNT	3406	region92	region92
chr6:109586311-109586312	intron	0.1947	chr6:109589723-109589724	intron	0.1736	MCH	3410	region53	region53
chr6:109589723-109589724	intron	0.1843	chr6:109586311-109586312	intron	0.1687	MCV	3410	region56	region56
chr9:136155000-136155001	intergenic	0.1233	chr9:136151579-136151580	promoter	0.156	NEUTRO_COUNT	3419	region111	region111
chr9:22151139-22151140	intergenic	0.3937	chr9:22147715-22147716	intergenic	0.1893	LYMPH_COUNT	3422	region128	region128
chr6:135418635-135418636	accessible	0.9487	chr6:135415208-135415209	intergenic	0.3786	MCH	3425	region48	region48
chr10:64564934-64564935	coding	0.2238	chr10:64561506-64561507	intergenic	0.3417	EO_COUNT	3426	region125	region125
chr2:65665273-65665274	promoter	0.3981	chr2:65661843-65661844	promoter	0.3613	MONO_COUNT	3428	region20	region20
chr3:12285734-12285735	intergenic	0.3473	chr3:12282304-12282305	intergenic	0.1034	RETIC_COUNT	3428	region39	region39
chr8:56768236-56768237	intergenic	0.2701	chr8:56764794-56764795	intergenic	0.2675	MPV	3440	region119	region119
chr1:7794289-7794290	intron	0.1437	chr1:7797734-7797735	promoter	0.3334	MPV	3443	region9	region9
chr13:114917127-114917128	accessible	0.2367	chr13:114913677-114913678	intergenic	0.2106	LYMPH_COUNT	3448	region157	region157
chr8:56792586-56792587	coding	0.2158	chr8:56789126-56789127	intergenic	0.2016	PLT_COUNT	3458	region129	region129
chr13:110489152-110489153	accessible	0.4454	chr13:110492626-110492627	intergenic	0.5542	PLT_COUNT	3472	region173	region173
chr8:130919581-130919582	intron	0.6107	chr8:130916092-130916093	intron	0.5754	WBC_COUNT	3487	region147	region147
chr12:39120250-39120251	intron	0.2183	chr12:39116731-39116732	promoter	0.1303	NEUTRO_COUNT	3517	region136	region136
chr5:75960968-75960969	coding	1	chr5:75964507-75964508	coding	1	MPV	3537	region65	region65
chr5:75964507-75964508	coding	0.9699	chr5:75960968-75960969	coding	0.4859	PLT_COUNT	3537	region67	region67
chr11:85799045-85799046	intergenic	0.9375	chr11:85795452-85795453	intergenic	0.4816	WBC_COUNT	3591	region177	region177
chr11:61567753-61567754	coding	0.1082	chr11:61571348-61571349	intron	0.1249	EO_COUNT	3593	region135	region135
chr10:97057370-97057371	accessible	0.742	chr10:97053775-97053776	intergenic	0.9982	MPV	3593	region132	region132
chr19:1045568-1045569	accessible	0.1649	chr19:1049165-1049166	intron	0.1184	WBC_COUNT	3595	region234	region234
chr11:57404779-57404780	promoter	0.1173	chr11:57408382-57408383	promoter	0.1084	MPV	3601	region144	region144
chr17:72766252-72766253	intergenic	0.1721	chr17:72762646-72762647	intron	0.1155	MONO_COUNT	3604	region183	region183
chr10:80805016-80805017	intron	0.121	chr10:80801407-80801408	intron	0.1012	MEAN_RETIC_VOL	3607	region93	region93
chr9:21986847-21986848	accessible	0.2402	chr9:21990457-21990458	intron	0.5562	LYMPH_COUNT	3608	region128	region128
chr19:10462513-10462514	intron	0.4394	chr19:10466123-10466124	intron	0.1413	LYMPH_COUNT	3608	region190	region190
chr9:21986847-21986848	accessible	0.1711	chr9:21990457-21990458	intron	0.2916	MONO_COUNT	3608	region130	region130
chr9:21986847-21986848	accessible	0.3829	chr9:21990457-21990458	intron	0.2803	PLT_COUNT	3608	region133	region133
chr9:21986847-21986848	accessible	0.2362	chr9:21990457-21990458	intron	0.3858	WBC_COUNT	3608	region161	region161
chr10:72594458-72594459	accessible	0.1884	chr10:72590824-72590825	intron	0.1536	MEAN_RETIC_VOL	3632	region97	region97
chr12:65063185-65063186	accessible	0.1804	chr12:65066822-65066823	accessible	0.1574	MPV	3635	region151	region151
chr5:156376429-156376430	accessible	0.138	chr5:156380067-156380068	intron	0.1475	PLT_COUNT	3636	region78	region78
chr8:116663898-116663899	accessible	0.1276	chr8:116667539-116667540	intron	0.2124	RETIC_COUNT	3639	region78	region78
chr17:38173637-38173638	coding	0.5718	chr17:38177282-38177283	promoter	0.1715	WBC_COUNT	3643	region216	region216
chr12:52361653-52361654	intron	0.5	chr12:52358002-52358003	intron	0.4321	NEUTRO_COUNT	3649	region138	region138
chr12:52361653-52361654	intron	0.6032	chr12:52358002-52358003	intron	0.342	WBC_COUNT	3649	region188	region188
chr3:128315725-128315726	intergenic	0.8201	chr3:128312069-128312070	intergenic	0.3661	EO_COUNT	3654	region28	region28
chr10:126340267-126340268	accessible	0.1216	chr10:126343931-126343932	intron	0.1474	BASO_COUNT	3662	region30	region30
chr12:133049093-133049094	accessible	0.1847	chr12:133052762-133052763	intergenic	0.5957	MCV	3667	region147	region147
chr6:25511309-25511310	intron	0.1166	chr6:25507639-25507640	intron	0.1145	PLT_COUNT	3668	region82	region82
chr2:169143035-169143036	intergenic	0.7915	chr2:169146710-169146711	intergenic	0.3583	NEUTRO_COUNT	3673	region21	region21
chr1:3691434-3691435	accessible	0.1595	chr1:3687739-3687740	promoter	0.1908	MCHC	3693	region3	region3
chr16:88858646-88858647	accessible	0.1952	chr16:88862343-88862344	intergenic	0.3125	MEAN_RETIC_VOL	3695	region129	region129
chr12:109486589-109486590	intergenic	0.1625	chr12:109490296-109490297	promoter	0.1026	PLT_COUNT	3705	region164	region164
chr7:75466806-75466807	intergenic	0.2631	chr7:75463077-75463078	intergenic	0.116	EO_COUNT	3727	region109	region109
chr13:28679426-28679427	intergenic	0.1521	chr13:28683164-28683165	intergenic	0.1237	WBC_COUNT	3736	region193	region193
chr13:114917127-114917128	accessible	0.2367	chr13:114920867-114920868	intergenic	0.5454	LYMPH_COUNT	3738	region157	region157
chr11:128601198-128601199	accessible	0.1347	chr11:128597444-128597445	intron	0.113	MONO_COUNT	3752	region141	region141
chr6:41924998-41924999	accessible	1	chr6:41921241-41921242	accessible	0.1922	MCH	3755	region50	region50
chr6:41924998-41924999	accessible	1	chr6:41921241-41921242	accessible	0.1958	MEAN_RETIC_VOL	3755	region42	region42
chr6:41924998-41924999	accessible	0.9999	chr6:41921241-41921242	accessible	0.1584	RBC_COUNT	3755	region37	region37
chr1:3691528-3691529	accessible	0.3622	chr1:3687739-3687740	promoter	0.1377	HGB	3787	region8	region8
